0111(7) 0010(2) | GT:1 LT:0 EQ:0
0111(7) 0011(3) | GT:1 LT:0 EQ:0
0111(7) 0100(4) | GT:1 LT:0 EQ:0
0111(7) 0101(5) | GT:1 LT:0 EQ:0
0111(7) 0110(6) | GT:1 LT:0 EQ:0
0111(7) 0111(7) | GT:0 LT:0 EQ:1
0111(7) 1000(8) | GT:0 LT:1 EQ:0
0111(7) 1001(9) | GT:0 LT:1 EQ:0
0111(7) 1010(10) | GT:0 LT:1 EQ:0
0111(7) 1011(11) | GT:0 LT:1 EQ:0
0111(7) 1100(12) | GT:0 LT:1 EQ:0
0111(7) 1101(13) | GT:0 LT:1 EQ:0
0111(7) 1110(14) | GT:0 LT:1 EQ:0
0111(7) 1111(15) | GT:0 LT:1 EQ:0
1000(8) 0000(0) | GT:1 LT:0 EQ:0
1000(8) 0001(1) | GT:1 LT:0 EQ:0
1000(8) 0010(2) | GT:1 LT:0 EQ:0
1000(8) 0011(3) | GT:1 LT:0 EQ:0
1000(8) 0100(4) | GT:1 LT:0 EQ:0
1000(8) 0101(5) | GT:1 LT:0 EQ:0
1000(8) 0110(6) | GT:1 LT:0 EQ:0
1000(8) 0111(7) | GT:1 LT:0 EQ:0
1000(8) 1000(8) | GT:0 LT:0 EQ:1
1000(8) 1001(9) | GT:0 LT:1 EQ:0
1000(8) 1010(10) | GT:0 LT:1 EQ:0
1000(8) 1011(11) | GT:0 LT:1 EQ:0
1000(8) 1100(12) | GT:0 LT:1 EQ:0
1000(8) 1101(13) | GT:0 LT:1 EQ:0
1000(8) 1110(14) | GT:0 LT:1 EQ:0
1000(8) 1111(15) | GT:0 LT:1 EQ:0
1001(9) 0000(0) | GT:1 LT:0 EQ:0
1001(9) 0001(1) | GT:1 LT:0 EQ:0
1001(9) 0010(2) | GT:1 LT:0 EQ:0
1001(9) 0011(3) | GT:1 LT:0 EQ:0
1001(9) 0100(4) | GT:1 LT:0 EQ:0
1001(9) 0101(5) | GT:1 LT:0 EQ:0
1001(9) 0110(6) | GT:1 LT:0 EQ:0
1001(9) 0111(7) | GT:1 LT:0 EQ:0
1001(9) 1000(8) | GT:1 LT:0 EQ:0
1001(9) 1001(9) | GT:0 LT:0 EQ:1
1001(9) 1010(10) | GT:0 LT:1 EQ:0
1001(9) 1011(11) | GT:0 LT:1 EQ:0
1001(9) 1100(12) | GT:0 LT:1 EQ:0
1001(9) 1101(13) | GT:0 LT:1 EQ:0
1001(9) 1110(14) | GT:0 LT:1 EQ:0
1001(9) 1111(15) | GT:0 LT:1 EQ:0
1010(10) 0000(0) | GT:1 LT:0 EQ:0
1010(10) 0001(1) | GT:1 LT:0 EQ:0
1010(10) 0010(2) | GT:1 LT:0 EQ:0
1010(10) 0011(3) | GT:1 LT:0 EQ:0
